dut_speed,dut_decel,dut_dist,foe_speed,foe_dist,envelope_id
20.0,5.5,13.0,27.0,21.0,0
19.0,5.5,14.0,27.0,22.0,0
21.0,5.1,14.0,27.0,24.0,0
19.0,5.300000000000001,14.0,27.0,24.0,0
18.0,5.2,14.0,26.0,23.0,0
18.0,5.2,14.0,25.0,23.0,0
20.0,5.6,14.0,25.0,26.0,0
19.0,5.5,15.0,27.0,23.0,0
20.0,5.4,16.0,27.0,21.0,0
21.0,5.300000000000001,16.0,27.0,21.0,0
21.0,5.5,14.0,26.0,27.0,0
19.0,5.5,15.0,27.0,24.0,0
19.0,5.4,16.0,26.0,21.0,0
19.0,5.4,16.0,26.0,20.0,0
21.0,5.5,18.0,26.0,26.0,0
19.0,5.5,15.0,27.0,23.0,0
19.0,5.4,13.0,26.0,21.0,0
19.0,5.300000000000001,12.0,26.0,21.0,0
21.0,5.6,16.0,25.0,26.0,0
19.0,5.5,15.0,27.0,23.0,0
19.0,5.300000000000001,14.0,26.0,21.0,0
20.0,5.2,14.0,26.0,21.0,0
18.0,4.4,11.0,23.0,16.0,0
17.0,4.3,8.0,26.0,16.0,0
18.0,4.2,6.0,26.0,16.0,0
17.0,4.3,7.0,26.0,16.0,0
20.0,4.6,12.0,25.0,14.0,0
17.0,4.6,9.0,26.0,15.0,0
17.0,4.6,6.0,25.0,16.0,0
17.0,4.6,8.0,25.0,16.0,0
21.0,5.4,17.0,26.0,26.0,0
19.0,5.5,15.0,27.0,24.0,0
19.0,5.5,14.0,26.0,22.0,0
19.0,5.5,13.0,25.0,21.0,0
22.0,5.5,16.0,26.0,27.0,0
19.0,5.5,15.0,27.0,24.0,0
19.0,5.4,14.0,26.0,21.0,0
19.0,5.4,14.0,25.0,21.0,0
16.0,4.8,11.0,24.0,20.0,0
18.0,4.7,9.0,22.0,17.0,0
19.0,4.6,8.0,23.0,15.0,0
19.0,4.6,7.0,24.0,15.0,0
21.0,5.6,18.0,26.0,24.0,0
19.0,5.5,15.0,27.0,24.0,0
19.0,5.4,12.0,26.0,24.0,0
19.0,5.300000000000001,11.0,26.0,23.0,0
21.0,5.4,18.0,26.0,26.0,0
